MG3 2016款 1.3L AMT舒适版,4.18万,4.09万公里,1.3L,自动
福特 福克斯 2017款 三厢 1.6L 自动风尚型智行版,7.58万,7.4万公里,1.6L,自动
Jeep 大切诺基 2015款 3.6L 豪华导航版(进口),36.88万,8.4万公里,3.6L,自动
日产 轩逸 2018款 1.6XV CVT尊享版,8.98万,3.91万公里,1.6L,自动
中华H330 2013款 1.5L 手动舒适型,2.68万,12.2万公里,1.5L,手动
本田 思域 2009款 1.8L 自动经典版,4.60万,10.59万公里,1.8L,自动
福特 翼搏 2017款 1.5L 自动尊贵型,6.90万,5万公里,1.5L,自动
丰田 汉兰达 2011款 2.7L 两驱5座精英版,10.80万,13万公里,2.7L,自动
奥迪A1 2013款 30 TFSI Sportback Urban(进口),8.88万,3.91万公里,1.4T,自动
长安 逸动DT 2018款 1.6L 自动智享型,5.48万,3.29万公里,1.6L,自动
凯迪拉克SRX 2011款 3.0L 豪华型(进口),12.48万,15.22万公里,3.0L,自动
三菱 欧蓝德 2014款 2.4L 四驱豪华超值版 7座(进口),11.80万,10.58万公里,2.4L,自动
大众POLO 2007款 1.6L Cross POLO AT,3.20万,15.3万公里,1.6L,自动
大众 桑塔纳 2016款 1.4L 手动风尚版,4.66万,1.58万公里,1.4L,手动
本田 锋范经典 2012款 1.5L 自动精英版,6.38万,4.05万公里,1.5L,自动
奔驰C级 2011款 C 200 CGI 优雅型,10.28万,10.21万公里,1.8T,自动
本田 雅阁 2013款 2.0L SE,8.80万,10.03万公里,2.0L,自动
奔驰B级 2013款 B 260(进口),13.80万,12万公里,2.0T,自动
奔驰E级 2011款 E 200 L CGI优雅型,11.90万,12万公里,1.8T,自动
奥迪A3 2010款 Sportback 1.4T 豪华型(进口),8.30万,11万公里,1.4T,自动
别克GL8 2014款 2.4L 经典版,8.98万,9.9万公里,2.4L,自动
MG3 2016款 1.3L AMT舒适版,4.18万,4.09万公里,1.3L,自动
福特 福克斯 2017款 三厢 1.6L 自动风尚型智行版,7.58万,7.4万公里,1.6L,自动
Jeep 大切诺基 2015款 3.6L 豪华导航版(进口),36.88万,8.4万公里,3.6L,自动
日产 轩逸 2018款 1.6XV CVT尊享版,8.98万,3.91万公里,1.6L,自动
中华H330 2013款 1.5L 手动舒适型,2.68万,12.2万公里,1.5L,手动
本田 思域 2009款 1.8L 自动经典版,4.60万,10.59万公里,1.8L,自动
福特 翼搏 2017款 1.5L 自动尊贵型,6.90万,5万公里,1.5L,自动
丰田 汉兰达 2011款 2.7L 两驱5座精英版,10.80万,13万公里,2.7L,自动
奥迪A1 2013款 30 TFSI Sportback Urban(进口),8.88万,3.91万公里,1.4T,自动
长安 逸动DT 2018款 1.6L 自动智享型,5.48万,3.29万公里,1.6L,自动
凯迪拉克SRX 2011款 3.0L 豪华型(进口),12.48万,15.22万公里,3.0L,自动
三菱 欧蓝德 2014款 2.4L 四驱豪华超值版 7座(进口),11.80万,10.58万公里,2.4L,自动
雷克萨斯ES 2010款 240 典雅版,11.58万,13万公里,2.4L,自动
斯柯达 明锐 2010款 1.4TSI DSG逸俊版,4.73万,7.97万公里,1.4T,自动
铃木 奥拓 2009款 1.0L 手动豪华型,1.45万,6.8万公里,1.0L,手动
现代 领动 2016款 1.4T 双离合炫动·精英型,7.88万,4万公里,1.4T,自动
福特 蒙迪欧-致胜 2010款 2.3L 时尚型,3.95万,12.79万公里,2.3L,自动
本田 思域 2016款 220TURBO CVT豪华版,11.68万,5.96万公里,1.5T,自动
保时捷Cayenne 2011款 Cayenne S 4.8L,49.79万,7万公里,4.8L,自动
宝马X1 2015款 sDrive18i 领先晋级版,15.98万,6万公里,2.0T,自动
奥迪A4L 2010款 2.0 TFSI 技术型,9.18万,17万公里,2.0T,自动
大众 尚酷 2015款 1.4TSI 风尚版(进口),13.20万,4.75万公里,1.4T,自动
宝骏630 2012款 1.5L DVVT自动精英型,2.68万,10.8万公里,1.5L,自动
奥迪Q7 2012款 3.0 TFSI 进取型(200kW)(进口),20.58万,10万公里,3.0T,自动
斯柯达 昕锐 2016款 1.6L 手动前行版,5.30万,0.99万公里,1.6L,手动
日产 天籁 2013款 2.0L XL舒适版,10.38万,12.1万公里,2.0L,自动
雪佛兰 科沃兹 2020款 Redline 325T 自动欣尚版 国VI,6.60万,3.81万公里,1.0T,自动
现代ix25 2015款 1.6L 自动两驱智能型GLS,8.10万,5.4万公里,1.6L,自动
福特 福克斯 2019款 两厢 EcoBoost 180 自动锋潮型,9.99万,2万公里,1.5T,自动
斯柯达 柯迪亚克 2018款 改款 TSI330 5座两驱舒适版,14.90万,4.64万公里,2.0T,自动
现代 全新胜达 2013款 改款 2.0T 自动四驱尊贵型,10.80万,13.5万公里,2.0T,自动
大众 尚酷 2009款 1.4TSI 风尚版(进口),7.60万,11.8万公里,1.4T,自动
大众 朗境 2016款 230TSI DSG豪华版,10.80万,4.26万公里,1.4T,自动
奥迪Q5 2016款 40 TFSI 进取型,22.28万,8.91万公里,2.0T,自动
标致308 2019款 230THP 自动豪华版 国V,7.80万,2.16万公里,1.2T,自动
宝马X1 2014款 sDrive18i 时尚型,13.38万,4.28万公里,2.0T,自动
福特 福克斯 2019款 三厢 EcoBoost 180 自动锋耀型,10.60万,0.9万公里,1.5T,自动
Jeep 指南者 2014款 改款 2.4L 四驱舒适版(进口),8.90万,9.7万公里,2.4L,自动
比亚迪 秦 2015款 1.5T 双冠旗舰版,8.63万,5.7万公里,1.5T,自动
宝马3系 2016款 320Li 进取型,20.80万,5.42万公里,2.0T,自动
丰田 威兰达 2020款 2.0L CVT四驱科技版,21.30万,0.5万公里,2.0L,自动
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,25.00万,7.04万公里,2.0T,自动
本田XR-V 2015款 1.8L VTi CVT豪华版,9.98万,8.31万公里,1.8L,自动
英菲尼迪QX50 2015款 2.5L 悦享版,17.80万,8.58万公里,2.5L,自动
长安 悦翔V3 2015款 1.4L 手动美满型 国V,2.38万,4.4万公里,1.4L,手动
陆风X7 2015款 2.0T 全景尊贵版,5.95万,6.55万公里,2.0T,自动
现代 悦纳 2016款 1.4L 自动活力版SPORT,5.68万,4.03万公里,1.4L,自动
日产 劲客 2017款 1.5L 手动酷动版,6.78万,3.63万公里,1.5L,手动
本田XR-V 2015款 1.8L EXi  CVT舒适版,11.35万,5.03万公里,1.8L,自动
马自达CX-4 2018款 2.0L 自动两驱蓝天探索版 国V,12.58万,4万公里,2.0L,自动
起亚 智跑 2018款 2.0L 自动智享豪华版 国V,10.80万,3.1万公里,2.0L,自动
宝马5系 2011款 535Li 行政型,21.00万,8.5万公里,3.0T,自动
奔驰C级 2017款 C 200 L,25.68万,4万公里,2.0T,自动
大众 凌渡 2018款 280TSI DSG舒适版,11.68万,3万公里,1.4T,自动
哈弗H1 2016款 红标 1.5L 手动舒适型,3.50万,3.2万公里,1.5L,手动
宝马1系 2013款 改款 118i 领先型(进口),10.98万,8.97万公里,1.6T,自动
宝马X1 2014款 sDrive18i 领先型,13.60万,8.36万公里,2.0T,自动
大众 高尔夫 2018款 230TSI 自动豪华型,11.80万,2.92万公里,1.4T,自动
雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,7.00万,9.7万公里,2.0L,自动
宝马3系 2021款 325Li M运动曜夜套装,35.88万,0.4万公里,2.0T,自动
丰田 卡罗拉 2014款 1.6L CVT GL-i,8.30万,8.31万公里,1.6L,自动
标致408 2014款 1.8L 自动豪华版,6.35万,11.8万公里,1.8L,自动
大众POLO 2011款 1.6L 自动致尚版,4.68万,6.71万公里,1.6L,自动
大众 捷达 2017款 1.5L 自动时尚型,5.78万,4.98万公里,1.5L,自动
奔驰E级 2011款 E 200 L CGI优雅型,14.38万,13.58万公里,1.8T,自动
大众 途安 2015款 1.4T 自动舒适版5座,8.60万,6.65万公里,1.4T,自动
日产 天籁 2013款 2.0L XL舒适版,12.40万,8.13万公里,2.0L,自动
大众 凌渡 2017款 280TSI DSG舒适版,10.88万,4.4万公里,1.4T,自动
丰田 卡罗拉 2018款 1.2T S-CVT GL智享版,9.50万,7.8万公里,1.2T,自动
哈弗H6 2021款 第二代 1.5T 自动冠军版,11.20万,0.02万公里,1.5T,自动
本田XR-V 2021款 1.5L CVT经典版,13.20万,0.01万公里,1.5L,自动
MINI 2010款 1.6T COOPER S 50 Camden,10.70万,11.8万公里,1.6T,自动
马自达CX-7 2014款 2.5L 2WD 尊贵版,8.80万,9.93万公里,2.5L,自动
马自达 阿特兹 2017款 2.0L 蓝天豪华版,12.90万,5.3万公里,2.0L,自动
奥迪A1 2012款 1.4 TFSI Ego(进口),7.20万,8.27万公里,1.4T,自动
大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,10.50万,5.3万公里,1.4T,自动
大众 宝来 2014款 1.6L 自动舒适型,6.98万,6.5万公里,1.6L,自动
大众 朗逸 2017款 1.6L 自动风尚版,8.30万,3.2万公里,1.6L,自动
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.58万,4.38万公里,1.4T,自动
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,10.28万,4.36万公里,1.5L,自动
大众POLO 2016款 1.6L 自动舒适型,7.68万,1.48万公里,1.6L,自动
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,7.58万,5.1万公里,1.5L,自动
奥迪A3 2019款 Limousine 35 TFSI 时尚型 国VI,17.30万,3.98万公里,1.4T,自动
标致308 2012款 1.6L 手动优尚型,2.68万,14.03万公里,1.6L,手动
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,9.80万,2.2万公里,1.5L,自动
宝马5系 2013款 520Li 典雅型,18.68万,14万公里,2.0T,自动
奥迪Q3 2015款 35 TFSI 百万纪念舒享型,14.98万,6万公里,2.0T,自动
江淮 瑞风S5 2017款 1.5T 手动电商版,3.88万,8.38万公里,1.5T,手动
比亚迪 唐新能源 2015款 2.0T 四驱旗舰型,8.58万,5.98万公里,2.0T,自动
传祺GS4 2017款 235T 自动两驱豪华智联版,8.00万,2.5万公里,1.5T,自动
大众 宝来 2014款 1.6L 自动舒适型,5.70万,12.79万公里,1.6L,自动
现代 领动 2018款 1.6L 自动15周年特别版,8.98万,1.59万公里,1.6L,自动
奥迪A3 2015款 Limousine 35 TFSI 百万纪念智领型,12.58万,5.9万公里,1.4T,自动
奥迪A4L 2017款 40 TFSI 进取型,20.28万,5.3万公里,2.0T,自动
比亚迪F3 2012款 节能版 1.5L 手动标准型,1.60万,6万公里,1.5L,手动
别克 英朗 2017款 15N 手动精英型,5.55万,4.72万公里,1.5L,手动
丰田 亚洲龙 2019款 2.5L Touring尊贵版 国VI,23.80万,2.7万公里,2.5L,自动
本田 歌诗图 2012款 2.4L 豪华版,9.90万,10万公里,2.4L,自动
英菲尼迪M系列 2012款 M25L 舒适版(进口),16.38万,9.7万公里,2.5L,自动
日产 纳瓦拉 2017款 2.5L自动四驱豪华版QR25,14.50万,2.34万公里,2.5L,自动
现代 索纳塔八 2011款 2.0L 自动豪华版,6.58万,11万公里,2.0L,自动
本田 雅阁 2018款 260TURBO 精英版 国V,17.18万,4.54万公里,1.5T,自动
日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.30万,3.84万公里,2.0L,自动
奥迪A5 2014款 Sportback 45 TFSI(进口),20.80万,8.84万公里,2.0T,自动
雪佛兰 科沃兹 2016款 1.5L 手动欣悦版,4.60万,5.5万公里,1.5L,手动
宝骏730 2016款 1.5T 手动舒适型 7座,5.48万,4.5万公里,1.5T,手动
本田 思域 2021款 HATCHBACK 220TURBO CVT潮酷控,14.60万,1万公里,1.5T,自动
斯巴鲁 森林人 2013款 2.5i 自动豪华版,13.80万,4.8万公里,2.5L,自动
大众 迈腾 2013款 1.8TSI 豪华型,10.58万,13.6万公里,1.8T,自动
奔驰B级 2012款 B 180(进口),11.58万,6.17万公里,1.6T,自动
宝马3系 2018款 320Li 时尚型,23.80万,5.95万公里,2.0T,自动
